feature,importance
restaurant_location_name_Cream Stone - Khairatabad,0.00034537448768450196
restaurant_location_name_MTR - Malleshwaram,0.0003433642199702814
restaurant_location_name_Smoor - Whitefield,0.0003432546055878397
restaurant_location_name_Empire Restaurant - Whitefield,0.0003416822812453777
restaurant_location_name_Udupi Sri Krishna Bhavan - Koramangala,0.00034103663868703503
restaurant_location_name_Pista House - New Maruthi Nagar,0.00033699811980736577
restaurant_location_name_Bawarchi - Banjara Hills,0.00033312972038735306
restaurant_location_name_Chutneys - Moosapet,0.00033143034750983397
restaurant_location_name_Mehfil - Banjara Hills,0.0003290384467710217
restaurant_location_name_Truffles - Whitefield,0.0003255755620877436
restaurant_location_name_CTR (Central Tiffin Room) - Koramangala,0.0003240581677797197
restaurant_location_name_Paradise - Abids,0.0003231508360830344
restaurant_location_name_Meghana Foods - Malleshwaram,0.0003215662244873798
restaurant_location_name_Meridian - Kukatpally,0.00032150929323679334
restaurant_location_name_Ram Ki Bandi - Madhapur,0.00032073374194993863
restaurant_location_name_Empire Restaurant - Banaswadi,0.0003185622966869228
restaurant_location_name_Smoor - Koramangala,0.0003177952807517465
restaurant_location_name_Ram Ki Bandi - Moosapet,0.00031292407269774736
restaurant_location_name_Shah Ghouse - New Maruthi Nagar,0.00031086244144418597
restaurant_location_name_Chutneys - Kukatpally,0.0003087973389569117
restaurant_location_name_Truffles - Banaswadi,0.00030630884083616164
restaurant_location_name_MTR - Koramangala,0.00030383972517335987
restaurant_location_name_Meghana Foods - Whitefield,0.0003021864461854271
restaurant_location_name_Vidyarthi Bhavan - Whitefield,0.0002964821124254813
restaurant_location_name_Corner House - Whitefield,0.000295839967313788
restaurant_location_name_Bawarchi - Abids,0.0002925950055467316
restaurant_location_name_Pista House - Kukatpally,0.0002878015723918179
restaurant_location_name_Karachi Bakery Cafe - Gachibowli,0.0002836750270921637
restaurant_location_name_Mehfil - Ameerpet,0.0002812929553158789
restaurant_location_name_Mehfil - Abids,0.00027801094654951317
restaurant_location_name_Smoor - Malleshwaram,0.0002768893165863945
restaurant_location_name_Karachi Bakery Cafe - Secunderabad,0.0002750672955172252
restaurant_location_name_Paradise - Khairatabad,0.000272631795415894
restaurant_location_name_Corner House - Koramangala,0.0002698748274324149
restaurant_location_name_CTR - Marathahalli,0.0002679892570827278
restaurant_location_name_Chutneys - New Maruthi Nagar,0.0002667618214245215
restaurant_location_name_Shah Ghouse - Banjara Hills,0.0002655389570228635
restaurant_location_name_Pista House - Ameerpet,0.0002654572407597577
restaurant_location_name_Cream Stone - Gachibowli,0.0002632039175799825
restaurant_location_name_Truffles - Marathahalli,0.00026106426061948306
restaurant_location_name_Nagarjuna - Koramangala,0.0002606108235725062
restaurant_location_name_Shah Ghouse - Ameerpet,0.00026036948346426584
restaurant_location_name_Cream Stone - Madhapur,0.00025702911345292954
restaurant_location_name_MTR - Banaswadi,0.0002523882856211991
restaurant_location_name_Paradise - Gachibowli,0.00025163907062442965
restaurant_location_name_Meridian - Secunderabad,0.00024506827159481145
restaurant_location_name_Udupi Sri Krishna Bhavan - Malleshwaram,0.00024115052321323197
restaurant_location_name_Bawarchi - Khairatabad,0.00023895951356503063
restaurant_location_name_Vidyarthi Bhavan - Malleshwaram,0.00022733786383637467
restaurant_location_name_Empire Restaurant - Malleshwaram,0.00022183900885579415
restaurant_location_name_Ram Ki Bandi - Secunderabad,0.00021091969022248708
restaurant_location_name_Corner House - Marathahalli,0.0002060321582391806
receiver_type_Self,0.0
order_for_someone_else_flag,0.0
