customer_id,previous_order_month_period,previous_monthly_orders,previous_monthly_revenue,previous_monthly_gross_amount,previous_avg_order_value,previous_coupon_used_count,previous_coupon_discount_total,previous_delayed_orders,previous_rain_orders,previous_surge_orders,previous_avg_delivery_minutes,previous_avg_distance_km,previous_avg_rating,previous_campaign_exposed_count,previous_ad_clicked_count,previous_city,previous_customer_area,previous_membership_tier,previous_delay_rate,previous_coupon_usage_rate,previous_campaign_click_rate,current_order_month_period,current_monthly_orders,current_monthly_revenue,current_monthly_gross_amount,current_avg_order_value,current_coupon_used_count,current_coupon_discount_total,current_delayed_orders,current_rain_orders,current_surge_orders,current_avg_delivery_minutes,current_avg_distance_km,current_avg_rating,current_campaign_exposed_count,current_ad_clicked_count,current_city,current_customer_area,current_membership_tier,current_delay_rate,current_coupon_usage_rate,current_campaign_click_rate,city,customer_area,membership_tier,order_drop_count,order_drop_pct,revenue_drop_amount,revenue_drop_pct,high_value_customer_flag,bad_experience_flag,coupon_sensitive_flag,churn_risk_label,churn_risk_num,customer_segment,recommended_coupon,coupon_reason,business_action,revenue_at_risk
12,2025-11,2.0,930.0,970.0,465.0,1.0,40.0,1.0,2.0,1.0,46.5,2.42,0.0,2.0,0.0,Hyderabad,Madhapur,NONE,0.5,0.5,0.0,2025-12,2.0,413.0,413.0,206.5,1.0,0.0,1.0,0.0,0.0,32.0,5.91,2.35,1.0,0.0,Hyderabad,Khairatabad,NONE,0.5,0.5,0.0,Hyderabad,Khairatabad,NONE,0.0,0.0,517.0,0.56,1,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
13,2025-11,2.0,381.0,381.0,190.5,1.0,0.0,0.0,1.0,0.0,31.0,13.04,1.95,1.0,0.0,Hyderabad,Banjara Hills,NONE,0.0,0.5,0.0,2025-12,1.0,148.0,148.0,148.0,1.0,0.0,0.0,0.0,0.0,28.0,16.83,0.0,1.0,0.0,Hyderabad,Madhapur,NONE,0.0,1.0,0.0,Hyderabad,Madhapur,NONE,1.0,0.5,233.0,0.61,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
14,2025-11,1.0,324.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,23.0,0.48,0.0,1.0,0.0,Hyderabad,Abids,NONE,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,Hyderabad,Abids,NONE,1.0,1.0,324.0,1.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
15,2025-11,1.0,267.0,277.0,267.0,0.0,0.0,0.0,0.0,0.0,32.0,7.97,3.8,0.0,0.0,Hyderabad,Moosapet,ONE_LITE,0.0,0.0,0.0,2025-12,2.0,704.0,804.0,352.0,2.0,80.0,0.0,0.0,0.0,27.5,9.04,2.25,0.0,0.0,Hyderabad,Madhapur,ONE_LITE,0.0,1.0,0.0,Hyderabad,Madhapur,ONE_LITE,-1.0,-1.0,-437.0,-1.64,0,0,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
16,2025-11,2.0,416.0,436.0,208.0,0.0,0.0,0.0,0.0,0.0,28.5,4.65,0.0,1.0,0.0,Hyderabad,Moosapet,ONE_LITE,0.0,0.0,0.0,2025-12,2.0,208.0,228.0,104.0,0.0,0.0,1.0,1.0,0.0,33.0,4.03,0.0,1.0,0.0,Hyderabad,Madhapur,ONE_LITE,0.5,0.0,0.0,Hyderabad,Madhapur,ONE_LITE,0.0,0.0,208.0,0.5,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
17,2025-11,2.0,208.0,208.0,104.0,0.0,0.0,1.0,1.0,0.0,32.5,15.58,0.0,1.0,0.0,Hyderabad,Secunderabad,NONE,0.5,0.0,0.0,2025-12,4.0,821.0,901.0,205.25,3.0,80.0,0.0,2.0,1.0,33.25,7.04,0.0,1.0,0.0,Hyderabad,Secunderabad,NONE,0.0,0.75,0.0,Hyderabad,Secunderabad,NONE,-2.0,-1.0,-613.0,-2.95,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
18,2025-11,2.0,473.0,473.0,236.5,0.0,0.0,0.0,0.0,0.0,22.0,12.64,0.0,1.0,0.0,Hyderabad,Gachibowli,NONE,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,Hyderabad,Gachibowli,NONE,2.0,1.0,473.0,1.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
19,2025-11,1.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,0.0,18.0,5.4,0.0,0.0,0.0,Hyderabad,Abids,NONE,0.0,0.0,0.0,2025-12,3.0,1100.0,1100.0,366.67,0.0,0.0,0.0,0.0,0.0,21.33,7.73,0.0,0.0,0.0,Hyderabad,Abids,NONE,0.0,0.0,0.0,Hyderabad,Abids,NONE,-2.0,-2.0,-844.0,-3.3,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
20,2025-11,2.0,304.0,324.0,152.0,0.0,0.0,0.0,1.0,0.0,35.0,4.85,2.5,1.0,0.0,Hyderabad,Ameerpet,ONE_LITE,0.0,0.0,0.0,2025-12,2.0,431.0,511.0,215.5,1.0,60.0,1.0,0.0,1.0,35.5,5.82,3.0,0.0,0.0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.5,0.5,0.0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.0,0.0,-127.0,-0.42,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
21,2025-11,2.0,412.0,412.0,206.0,1.0,0.0,2.0,1.0,0.0,51.0,9.45,1.7,1.0,0.0,Hyderabad,Moosapet,NONE,1.0,0.5,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,Hyderabad,Moosapet,NONE,2.0,1.0,412.0,1.0,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
22,2025-11,1.0,210.0,220.0,210.0,0.0,0.0,0.0,0.0,0.0,26.0,7.44,0.0,1.0,0.0,Hyderabad,Moosapet,ONE_LITE,0.0,0.0,0.0,2025-12,4.0,1347.0,1518.0,336.75,1.0,131.0,0.0,0.0,3.0,27.5,5.11,1.1,2.0,0.0,Hyderabad,Banjara Hills,ONE_LITE,0.0,0.25,0.0,Hyderabad,Banjara Hills,ONE_LITE,-3.0,-3.0,-1137.0,-5.41,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
23,2025-11,3.0,452.0,452.0,150.67,1.0,0.0,0.0,0.0,0.0,24.33,9.18,1.67,1.0,0.0,Hyderabad,Gachibowli,NONE,0.0,0.33,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,Hyderabad,Gachibowli,NONE,3.0,1.0,452.0,1.0,0,1,0,High Churn Risk,1,At Risk Customer,SAVE100,Customer order frequency has dropped sharply. Direct discount can bring customer back.,"Send comeback campaign, personalized coupon, and restaurant recommendations.",452.0
24,2025-11,6.0,2397.0,2997.0,399.5,4.0,450.0,1.0,1.0,0.0,29.67,3.0,0.0,2.0,0.0,Hyderabad,New Maruthi Nagar,ONE_PLUS,0.17,0.67,0.0,2025-12,2.0,999.0,1049.0,499.5,1.0,0.0,0.0,0.0,0.0,26.5,3.8,3.0,0.0,0.0,Hyderabad,Khairatabad,ONE_PLUS,0.0,0.5,0.0,Hyderabad,Khairatabad,ONE_PLUS,4.0,0.67,1398.0,0.58,1,1,1,Medium Churn Risk,0,Coupon Sensitive Customer,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,2397.0
25,2025-11,2.0,319.0,369.0,159.5,0.0,0.0,0.0,0.0,0.0,33.0,8.01,0.0,0.0,0.0,Hyderabad,Moosapet,ONE,0.0,0.0,0.0,2025-12,1.0,212.0,277.0,212.0,1.0,40.0,0.0,0.0,0.0,34.0,4.73,0.0,1.0,0.0,Hyderabad,Moosapet,ONE,0.0,1.0,0.0,Hyderabad,Moosapet,ONE,1.0,0.5,107.0,0.34,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
26,2025-11,2.0,538.0,558.0,269.0,1.0,0.0,1.0,1.0,2.0,44.0,13.38,0.0,1.0,0.0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.5,0.5,0.0,2025-12,2.0,213.0,233.0,106.5,1.0,0.0,0.0,1.0,0.0,29.0,10.68,0.0,0.0,0.0,Hyderabad,Abids,ONE_LITE,0.0,0.5,0.0,Hyderabad,Abids,ONE_LITE,0.0,0.0,325.0,0.6,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
27,2025-11,4.0,901.0,901.0,225.25,0.0,0.0,0.0,1.0,0.0,20.75,9.38,0.92,2.0,0.0,Hyderabad,New Maruthi Nagar,NONE,0.0,0.0,0.0,2025-12,3.0,492.0,563.0,164.0,1.0,71.0,1.0,1.0,0.0,35.0,6.03,0.0,2.0,0.0,Hyderabad,Madhapur,NONE,0.33,0.33,0.0,Hyderabad,Madhapur,NONE,1.0,0.25,409.0,0.45,1,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
28,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,2025-12,2.0,421.0,466.0,210.5,0.0,0.0,1.0,0.0,0.0,33.0,13.5,1.75,1.0,0.0,Hyderabad,New Maruthi Nagar,ONE,0.5,0.0,0.0,Hyderabad,New Maruthi Nagar,ONE,-2.0,0.0,-421.0,0.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
29,2025-11,3.0,884.0,1008.0,294.67,1.0,49.0,1.0,1.0,0.0,30.67,7.06,3.07,0.0,0.0,Hyderabad,Abids,ONE,0.33,0.33,0.0,2025-12,3.0,303.0,378.0,101.0,1.0,0.0,0.0,1.0,0.0,25.67,4.39,1.37,1.0,0.0,Hyderabad,Gachibowli,ONE,0.0,0.33,0.0,Hyderabad,Gachibowli,ONE,0.0,0.0,581.0,0.66,1,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
30,2025-11,4.0,1109.0,1209.0,277.25,1.0,0.0,0.0,0.0,0.0,25.25,2.96,2.22,2.0,0.0,Hyderabad,Banjara Hills,ONE_PLUS,0.0,0.25,0.0,2025-12,4.0,929.0,1109.0,232.25,2.0,80.0,2.0,2.0,2.0,39.0,7.32,0.0,1.0,0.0,Hyderabad,Secunderabad,ONE_PLUS,0.5,0.5,0.0,Hyderabad,Secunderabad,ONE_PLUS,0.0,0.0,180.0,0.16,1,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
31,2025-11,2.0,214.0,214.0,107.0,1.0,0.0,0.0,0.0,1.0,27.0,4.08,2.35,1.0,0.0,Hyderabad,Ameerpet,NONE,0.0,0.5,0.0,2025-12,1.0,129.0,129.0,129.0,0.0,0.0,1.0,0.0,0.0,53.0,8.58,0.0,0.0,0.0,Hyderabad,Kukatpally,NONE,1.0,0.0,0.0,Hyderabad,Kukatpally,NONE,1.0,0.5,85.0,0.4,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
32,2025-11,2.0,938.0,938.0,469.0,0.0,0.0,0.0,0.0,0.0,25.5,4.46,0.0,1.0,0.0,Hyderabad,Khairatabad,NONE,0.0,0.0,0.0,2025-12,2.0,694.0,694.0,347.0,0.0,0.0,0.0,1.0,1.0,34.5,3.24,0.0,1.0,0.0,Hyderabad,Khairatabad,NONE,0.0,0.0,0.0,Hyderabad,Khairatabad,NONE,0.0,0.0,244.0,0.26,1,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
34,2025-11,5.0,803.0,853.0,160.6,2.0,0.0,3.0,1.0,1.0,46.2,5.25,0.0,3.0,0.0,Hyderabad,Kukatpally,ONE_LITE,0.6,0.4,0.0,2025-12,1.0,188.0,198.0,188.0,0.0,0.0,0.0,0.0,0.0,32.0,7.91,0.0,0.0,0.0,Hyderabad,Moosapet,ONE_LITE,0.0,0.0,0.0,Hyderabad,Moosapet,ONE_LITE,4.0,0.8,615.0,0.77,1,1,0,Medium Churn Risk,0,Regular Customer,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,803.0
35,2025-11,3.0,729.0,879.0,243.0,2.0,150.0,0.0,0.0,0.0,25.0,5.86,1.5,0.0,0.0,Hyderabad,Banjara Hills,NONE,0.0,0.67,0.0,2025-12,2.0,379.0,459.0,189.5,2.0,80.0,1.0,0.0,0.0,41.0,3.66,0.0,0.0,0.0,Hyderabad,Moosapet,NONE,0.5,1.0,0.0,Hyderabad,Moosapet,NONE,1.0,0.33,350.0,0.48,1,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
36,2025-11,1.0,124.0,174.0,124.0,1.0,40.0,0.0,0.0,0.0,24.0,16.85,3.9,0.0,0.0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.0,1.0,0.0,2025-12,6.0,2095.0,2155.0,349.17,1.0,0.0,2.0,1.0,3.0,33.83,9.44,0.67,3.0,0.0,Hyderabad,Ameerpet,ONE_LITE,0.33,0.17,0.0,Hyderabad,Ameerpet,ONE_LITE,-5.0,-5.0,-1971.0,-15.9,0,0,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
37,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,2025-12,2.0,422.0,422.0,211.0,0.0,0.0,1.0,0.0,0.0,41.5,2.28,0.0,2.0,0.0,Hyderabad,Kukatpally,NONE,0.5,0.0,0.0,Hyderabad,Kukatpally,NONE,-2.0,0.0,-422.0,0.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
38,2025-11,2.0,258.0,308.0,129.0,1.0,0.0,1.0,0.0,2.0,39.5,4.42,2.25,0.0,0.0,Hyderabad,Madhapur,ONE,0.5,0.5,0.0,2025-12,5.0,1850.0,2015.0,370.0,1.0,40.0,2.0,1.0,2.0,29.6,4.03,0.72,1.0,0.0,Hyderabad,Moosapet,ONE,0.4,0.2,0.0,Hyderabad,Moosapet,ONE,-3.0,-1.5,-1592.0,-6.17,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
39,2025-11,2.0,616.0,696.0,308.0,2.0,80.0,0.0,0.0,0.0,27.0,0.36,0.0,0.0,0.0,Hyderabad,Kukatpally,NONE,0.0,1.0,0.0,2025-12,2.0,485.0,485.0,242.5,1.0,0.0,1.0,1.0,0.0,42.0,5.23,0.0,1.0,0.0,Hyderabad,Banjara Hills,NONE,0.5,0.5,0.0,Hyderabad,Banjara Hills,NONE,0.0,0.0,131.0,0.21,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
40,2025-11,4.0,379.0,419.0,94.75,1.0,0.0,2.0,1.0,0.0,40.25,6.11,0.0,1.0,0.0,Hyderabad,Secunderabad,ONE_LITE,0.5,0.25,0.0,2025-12,2.0,288.0,308.0,144.0,2.0,0.0,0.0,0.0,0.0,25.0,5.93,2.05,1.0,0.0,Hyderabad,Madhapur,ONE_LITE,0.0,1.0,0.0,Hyderabad,Madhapur,ONE_LITE,2.0,0.5,91.0,0.24,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
41,2025-11,1.0,95.0,120.0,95.0,0.0,0.0,0.0,0.0,1.0,21.0,6.75,3.1,1.0,0.0,Hyderabad,Madhapur,ONE,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,Hyderabad,Madhapur,ONE,1.0,1.0,95.0,1.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
42,2025-11,4.0,1194.0,1234.0,298.5,0.0,0.0,1.0,0.0,1.0,32.25,14.71,0.72,0.0,0.0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.25,0.0,0.0,2025-12,3.0,401.0,532.0,133.67,1.0,101.0,2.0,1.0,2.0,36.0,9.17,2.07,3.0,0.0,Hyderabad,Secunderabad,ONE_LITE,0.67,0.33,0.0,Hyderabad,Secunderabad,ONE_LITE,1.0,0.25,793.0,0.66,1,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
43,2025-11,4.0,704.0,833.0,176.0,1.0,129.0,2.0,0.0,0.0,39.25,10.51,1.95,2.0,0.0,Hyderabad,Ameerpet,NONE,0.5,0.25,0.0,2025-12,3.0,1034.0,1184.0,344.67,1.0,150.0,1.0,1.0,0.0,33.33,9.57,0.0,1.0,0.0,Hyderabad,Ameerpet,NONE,0.33,0.33,0.0,Hyderabad,Ameerpet,NONE,1.0,0.25,-330.0,-0.47,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
44,2025-11,1.0,282.0,282.0,282.0,0.0,0.0,1.0,1.0,0.0,54.0,0.13,0.0,1.0,0.0,Hyderabad,New Maruthi Nagar,NONE,1.0,0.0,0.0,2025-12,3.0,543.0,604.0,181.0,1.0,61.0,0.0,1.0,2.0,26.0,13.49,0.0,2.0,0.0,Hyderabad,Moosapet,NONE,0.0,0.33,0.0,Hyderabad,Moosapet,NONE,-2.0,-2.0,-261.0,-0.93,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
45,2025-11,1.0,40.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,24.0,5.27,0.0,0.0,0.0,Hyderabad,Secunderabad,ONE,0.0,0.0,0.0,2025-12,3.0,362.0,437.0,120.67,0.0,0.0,1.0,0.0,1.0,26.0,9.87,0.0,2.0,0.0,Hyderabad,Gachibowli,ONE,0.33,0.0,0.0,Hyderabad,Gachibowli,ONE,-2.0,-2.0,-322.0,-8.05,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
