customer_id,city,customer_area,membership_tier,customer_segment,previous_monthly_orders,current_monthly_orders,order_drop_count,order_drop_pct,previous_monthly_revenue,current_monthly_revenue,revenue_drop_pct,churn_risk_label,recommended_coupon,coupon_reason,business_action,revenue_at_risk
12,Hyderabad,Khairatabad,NONE,Coupon Sensitive Customer,2.0,2.0,0.0,0.0,930.0,413.0,0.56,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
13,Hyderabad,Madhapur,NONE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,381.0,148.0,0.61,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
14,Hyderabad,Abids,NONE,Regular Customer,1.0,0.0,1.0,1.0,324.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
15,Hyderabad,Madhapur,ONE_LITE,Regular Customer,1.0,2.0,-1.0,-1.0,267.0,704.0,-1.64,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
16,Hyderabad,Madhapur,ONE_LITE,Regular Customer,2.0,2.0,0.0,0.0,416.0,208.0,0.5,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
17,Hyderabad,Secunderabad,NONE,Regular Customer,2.0,4.0,-2.0,-1.0,208.0,821.0,-2.95,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
18,Hyderabad,Gachibowli,NONE,Regular Customer,2.0,0.0,2.0,1.0,473.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
19,Hyderabad,Abids,NONE,Regular Customer,1.0,3.0,-2.0,-2.0,256.0,1100.0,-3.3,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
20,Hyderabad,New Maruthi Nagar,ONE_LITE,Regular Customer,2.0,2.0,0.0,0.0,304.0,431.0,-0.42,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
21,Hyderabad,Moosapet,NONE,Coupon Sensitive Customer,2.0,0.0,2.0,1.0,412.0,0.0,1.0,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
22,Hyderabad,Banjara Hills,ONE_LITE,Regular Customer,1.0,4.0,-3.0,-3.0,210.0,1347.0,-5.41,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
23,Hyderabad,Gachibowli,NONE,At Risk Customer,3.0,0.0,3.0,1.0,452.0,0.0,1.0,High Churn Risk,SAVE100,Customer order frequency has dropped sharply. Direct discount can bring customer back.,"Send comeback campaign, personalized coupon, and restaurant recommendations.",452.0
24,Hyderabad,Khairatabad,ONE_PLUS,Coupon Sensitive Customer,6.0,2.0,4.0,0.67,2397.0,999.0,0.58,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,2397.0
25,Hyderabad,Moosapet,ONE,Regular Customer,2.0,1.0,1.0,0.5,319.0,212.0,0.34,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
26,Hyderabad,Abids,ONE_LITE,Coupon Sensitive Customer,2.0,2.0,0.0,0.0,538.0,213.0,0.6,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
27,Hyderabad,Madhapur,NONE,Regular Customer,4.0,3.0,1.0,0.25,901.0,492.0,0.45,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
28,Hyderabad,New Maruthi Nagar,ONE,Regular Customer,0.0,2.0,-2.0,0.0,0.0,421.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
29,Hyderabad,Gachibowli,ONE,Regular Customer,3.0,3.0,0.0,0.0,884.0,303.0,0.66,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
30,Hyderabad,Secunderabad,ONE_PLUS,Regular Customer,4.0,4.0,0.0,0.0,1109.0,929.0,0.16,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
31,Hyderabad,Kukatpally,NONE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,214.0,129.0,0.4,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
32,Hyderabad,Khairatabad,NONE,Regular Customer,2.0,2.0,0.0,0.0,938.0,694.0,0.26,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
34,Hyderabad,Moosapet,ONE_LITE,Regular Customer,5.0,1.0,4.0,0.8,803.0,188.0,0.77,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,803.0
35,Hyderabad,Moosapet,NONE,Coupon Sensitive Customer,3.0,2.0,1.0,0.33,729.0,379.0,0.48,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
36,Hyderabad,Ameerpet,ONE_LITE,Coupon Sensitive Customer,1.0,6.0,-5.0,-5.0,124.0,2095.0,-15.9,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
37,Hyderabad,Kukatpally,NONE,Regular Customer,0.0,2.0,-2.0,0.0,0.0,422.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
38,Hyderabad,Moosapet,ONE,Coupon Sensitive Customer,2.0,5.0,-3.0,-1.5,258.0,1850.0,-6.17,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
39,Hyderabad,Banjara Hills,NONE,Coupon Sensitive Customer,2.0,2.0,0.0,0.0,616.0,485.0,0.21,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
40,Hyderabad,Madhapur,ONE_LITE,Regular Customer,4.0,2.0,2.0,0.5,379.0,288.0,0.24,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
41,Hyderabad,Madhapur,ONE,Regular Customer,1.0,0.0,1.0,1.0,95.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
42,Hyderabad,Secunderabad,ONE_LITE,Regular Customer,4.0,3.0,1.0,0.25,1194.0,401.0,0.66,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
43,Hyderabad,Ameerpet,NONE,Regular Customer,4.0,3.0,1.0,0.25,704.0,1034.0,-0.47,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
44,Hyderabad,Moosapet,NONE,Regular Customer,1.0,3.0,-2.0,-2.0,282.0,543.0,-0.93,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
45,Hyderabad,Gachibowli,ONE,Regular Customer,1.0,3.0,-2.0,-2.0,40.0,362.0,-8.05,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
46,Hyderabad,Ameerpet,ONE,Regular Customer,1.0,3.0,-2.0,-2.0,54.0,1381.0,-24.57,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
47,Hyderabad,Abids,ONE_LITE,Coupon Sensitive Customer,2.0,0.0,2.0,1.0,228.0,0.0,1.0,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
48,Hyderabad,Kukatpally,NONE,Regular Customer,3.0,3.0,0.0,0.0,870.0,804.0,0.08,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
49,Hyderabad,Khairatabad,ONE_LITE,Regular Customer,3.0,2.0,1.0,0.33,237.0,273.0,-0.15,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
50,Hyderabad,Gachibowli,ONE,Regular Customer,1.0,1.0,0.0,0.0,195.0,375.0,-0.92,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
51,Hyderabad,Ameerpet,NONE,Regular Customer,3.0,2.0,1.0,0.33,481.0,466.0,0.03,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
52,Hyderabad,New Maruthi Nagar,NONE,Coupon Sensitive Customer,2.0,4.0,-2.0,-1.0,411.0,358.0,0.13,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
53,Hyderabad,Banjara Hills,NONE,Regular Customer,0.0,2.0,-2.0,0.0,0.0,333.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
54,Hyderabad,Ameerpet,ONE_LITE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,348.0,356.0,-0.02,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
55,Hyderabad,Moosapet,ONE_PLUS,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,725.0,47.0,0.94,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
56,Hyderabad,Secunderabad,NONE,Regular Customer,0.0,1.0,-1.0,0.0,0.0,480.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
57,Hyderabad,Kukatpally,NONE,Regular Customer,0.0,4.0,-4.0,0.0,0.0,1081.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
58,Hyderabad,New Maruthi Nagar,NONE,Regular Customer,1.0,2.0,-1.0,-1.0,93.0,448.0,-3.82,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
59,Hyderabad,Khairatabad,NONE,Coupon Sensitive Customer,1.0,0.0,1.0,1.0,168.0,0.0,1.0,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
60,Hyderabad,Kukatpally,NONE,Regular Customer,2.0,1.0,1.0,0.5,243.0,522.0,-1.15,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
61,Hyderabad,Abids,ONE_LITE,Coupon Sensitive Customer,1.0,1.0,0.0,0.0,148.0,198.0,-0.34,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
62,Hyderabad,Gachibowli,NONE,Regular Customer,1.0,8.0,-7.0,-7.0,164.0,1836.0,-10.2,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
63,Hyderabad,Khairatabad,ONE_LITE,Regular Customer,1.0,2.0,-1.0,-1.0,105.0,854.0,-7.13,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
64,Hyderabad,New Maruthi Nagar,NONE,Coupon Sensitive Customer,3.0,1.0,2.0,0.67,1271.0,129.0,0.9,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
65,Hyderabad,Gachibowli,ONE,Regular Customer,2.0,2.0,0.0,0.0,1031.0,594.0,0.42,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
66,Hyderabad,Ameerpet,NONE,Coupon Sensitive Customer,1.0,2.0,-1.0,-1.0,119.0,263.0,-1.21,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
67,Hyderabad,Ameerpet,ONE,Regular Customer,1.0,2.0,-1.0,-1.0,40.0,376.0,-8.4,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
68,Hyderabad,Madhapur,NONE,Regular Customer,2.0,2.0,0.0,0.0,696.0,459.0,0.34,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
69,Hyderabad,Secunderabad,ONE,Regular Customer,0.0,1.0,-1.0,0.0,0.0,569.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
71,Hyderabad,Khairatabad,ONE_LITE,Regular Customer,3.0,2.0,1.0,0.33,506.0,467.0,0.08,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
72,Hyderabad,Moosapet,NONE,Regular Customer,1.0,2.0,-1.0,-1.0,336.0,264.0,0.21,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
73,Hyderabad,Gachibowli,ONE,Regular Customer,0.0,1.0,-1.0,0.0,0.0,165.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
74,Hyderabad,Gachibowli,NONE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,404.0,168.0,0.58,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
75,Hyderabad,Ameerpet,NONE,Regular Customer,6.0,5.0,1.0,0.17,1190.0,2161.0,-0.82,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
76,Hyderabad,Gachibowli,ONE,Regular Customer,1.0,4.0,-3.0,-3.0,40.0,482.0,-11.05,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
77,Hyderabad,Abids,NONE,Regular Customer,1.0,2.0,-1.0,-1.0,214.0,868.0,-3.06,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
78,Hyderabad,Abids,NONE,Regular Customer,2.0,1.0,1.0,0.5,258.0,236.0,0.09,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
79,Hyderabad,Khairatabad,NONE,Regular Customer,2.0,2.0,0.0,0.0,882.0,217.0,0.75,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
80,Hyderabad,Madhapur,ONE_PLUS,Regular Customer,2.0,3.0,-1.0,-0.5,418.0,1051.0,-1.51,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
81,Hyderabad,Kukatpally,ONE_LITE,Regular Customer,2.0,0.0,2.0,1.0,559.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
82,Hyderabad,Kukatpally,ONE_LITE,Regular Customer,1.0,5.0,-4.0,-4.0,110.0,1245.0,-10.32,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
83,Hyderabad,Gachibowli,ONE,Coupon Sensitive Customer,2.0,2.0,0.0,0.0,180.0,444.0,-1.47,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
84,Hyderabad,Abids,NONE,Regular Customer,3.0,2.0,1.0,0.33,1258.0,310.0,0.75,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
85,Hyderabad,Moosapet,NONE,At Risk Customer,4.0,0.0,4.0,1.0,709.0,0.0,1.0,High Churn Risk,FREEDELIVERY,Customer is coupon sensitive and at churn risk. Free delivery can improve conversion.,"Send comeback campaign, personalized coupon, and restaurant recommendations.",709.0
86,Hyderabad,Gachibowli,NONE,Regular Customer,1.0,2.0,-1.0,-1.0,60.0,277.0,-3.62,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
87,Hyderabad,Secunderabad,ONE_LITE,Regular Customer,1.0,1.0,0.0,0.0,406.0,110.0,0.73,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
88,Hyderabad,Moosapet,NONE,Regular Customer,2.0,4.0,-2.0,-1.0,852.0,892.0,-0.05,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
89,Hyderabad,Kukatpally,ONE_LITE,Regular Customer,1.0,3.0,-2.0,-2.0,228.0,751.0,-2.29,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
90,Hyderabad,Kukatpally,ONE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,415.0,380.0,0.08,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
92,Hyderabad,Kukatpally,ONE,Coupon Sensitive Customer,2.0,0.0,2.0,1.0,419.0,0.0,1.0,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
93,Hyderabad,Banjara Hills,NONE,Coupon Sensitive Customer,5.0,0.0,5.0,1.0,661.0,0.0,1.0,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,661.0
95,Hyderabad,Moosapet,NONE,Regular Customer,1.0,0.0,1.0,1.0,95.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
96,Hyderabad,Kukatpally,ONE_LITE,Regular Customer,5.0,3.0,2.0,0.4,1249.0,952.0,0.24,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,1249.0
97,Hyderabad,Ameerpet,ONE_PLUS,Regular Customer,3.0,3.0,0.0,0.0,1124.0,934.0,0.17,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
98,Hyderabad,Kukatpally,NONE,Regular Customer,2.0,3.0,-1.0,-0.5,797.0,532.0,0.33,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
99,Hyderabad,Khairatabad,NONE,Coupon Sensitive Customer,2.0,3.0,-1.0,-0.5,468.0,1364.0,-1.91,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
100,Hyderabad,Secunderabad,NONE,Regular Customer,3.0,2.0,1.0,0.33,288.0,404.0,-0.4,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
101,Hyderabad,Moosapet,ONE_PLUS,Coupon Sensitive Customer,1.0,1.0,0.0,0.0,184.0,161.0,0.12,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
102,Hyderabad,Abids,NONE,Regular Customer,0.0,4.0,-4.0,0.0,0.0,916.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
103,Hyderabad,Gachibowli,ONE_LITE,Regular Customer,3.0,2.0,1.0,0.33,805.0,704.0,0.13,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
104,Hyderabad,Banjara Hills,NONE,Regular Customer,5.0,3.0,2.0,0.4,1258.0,1183.0,0.06,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,1258.0
105,Hyderabad,Moosapet,NONE,Regular Customer,1.0,3.0,-2.0,-2.0,516.0,649.0,-0.26,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
106,Hyderabad,Banjara Hills,ONE_PLUS,Coupon Sensitive Customer,2.0,4.0,-2.0,-1.0,801.0,568.0,0.29,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
107,Hyderabad,Abids,ONE_LITE,Regular Customer,1.0,3.0,-2.0,-2.0,580.0,269.0,0.54,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
108,Hyderabad,Kukatpally,ONE_LITE,Regular Customer,0.0,1.0,-1.0,0.0,0.0,154.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
109,Hyderabad,Khairatabad,ONE,Regular Customer,2.0,3.0,-1.0,-0.5,370.0,263.0,0.29,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
110,Hyderabad,Madhapur,ONE,Regular Customer,1.0,3.0,-2.0,-2.0,171.0,1655.0,-8.68,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
111,Hyderabad,Madhapur,NONE,Regular Customer,4.0,3.0,1.0,0.25,600.0,1386.0,-1.31,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
113,Hyderabad,Khairatabad,ONE_LITE,Regular Customer,4.0,2.0,2.0,0.5,1323.0,330.0,0.75,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
114,Hyderabad,Khairatabad,NONE,Regular Customer,5.0,2.0,3.0,0.6,1158.0,560.0,0.52,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,1158.0
115,Hyderabad,Secunderabad,NONE,At Risk High Value Customer,4.0,0.0,4.0,1.0,1668.0,0.0,1.0,High Churn Risk,COMEBACK30,High-value customer has reduced order frequency. Strong comeback coupon can protect revenue.,"Send comeback campaign, personalized coupon, and restaurant recommendations.",1668.0
116,Hyderabad,Banjara Hills,ONE,Regular Customer,2.0,0.0,2.0,1.0,504.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
117,Hyderabad,Khairatabad,ONE,Regular Customer,2.0,0.0,2.0,1.0,442.0,0.0,1.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
118,Hyderabad,Khairatabad,ONE_PLUS,Coupon Sensitive Customer,1.0,3.0,-2.0,-2.0,217.0,1005.0,-3.63,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
119,Hyderabad,Madhapur,NONE,Regular Customer,1.0,2.0,-1.0,-1.0,867.0,282.0,0.67,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
120,Hyderabad,Abids,NONE,Coupon Sensitive Customer,4.0,2.0,2.0,0.5,944.0,275.0,0.71,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
