restaurant_id,restaurant_location_name,restaurant_area,total_orders,total_revenue,avg_order_value,delayed_orders,rain_orders,surge_orders,avg_delivery_minutes,avg_distance_km,avg_rating,delay_rate_pct,rain_order_pct,restaurant_priority,business_action
43,Corner House - Marathahalli,Marathahalli,2609,579908,222.27,801,461,594,35.05,8.26,1.16,30.7,17.67,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
44,CTR - Marathahalli,Marathahalli,2682,604529,225.4,809,456,607,34.89,8.27,1.13,30.16,17.0,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
45,Truffles - Marathahalli,Marathahalli,2675,617511,230.85,833,506,621,35.23,8.19,1.12,31.14,18.92,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
46,Nagarjuna - Koramangala,Koramangala,2626,615023,234.21,795,478,608,35.28,8.6,1.09,30.27,18.2,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
47,CTR (Central Tiffin Room) - Koramangala,Koramangala,2672,603427,225.83,872,489,603,35.52,8.87,1.17,32.63,18.3,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
48,MTR - Koramangala,Koramangala,2651,599233,226.04,795,503,614,35.05,8.9,1.12,29.99,18.97,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
49,Empire Restaurant - Whitefield,Whitefield,2557,591886,231.48,741,446,582,35.07,10.41,1.04,28.98,17.44,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
50,Vidyarthi Bhavan - Whitefield,Whitefield,2615,603398,230.74,833,475,558,35.53,10.46,1.09,31.85,18.16,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
51,Meghana Foods - Whitefield,Whitefield,2685,602392,224.35,831,485,591,35.15,10.12,1.07,30.95,18.06,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
52,Udupi Sri Krishna Bhavan - Koramangala,Koramangala,2593,589694,227.42,855,493,643,35.46,8.62,1.11,32.97,19.01,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
53,Smoor - Koramangala,Koramangala,2574,578992,224.94,775,449,565,35.04,8.96,1.16,30.11,17.44,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
54,Corner House - Koramangala,Koramangala,2649,597802,225.67,826,452,622,34.98,8.84,1.1,31.18,17.06,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
55,CTR - Whitefield,Whitefield,2660,614615,231.06,798,475,633,34.86,10.46,1.07,30.0,17.86,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
56,Truffles - Whitefield,Whitefield,2586,581354,224.81,804,486,599,35.06,10.35,1.18,31.09,18.79,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
57,Nagarjuna - Whitefield,Whitefield,2674,615898,230.33,821,494,591,35.13,9.62,1.06,30.7,18.47,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
58,CTR (Central Tiffin Room) - Banaswadi,Banaswadi,2711,622511,229.62,859,473,629,35.4,8.28,1.05,31.69,17.45,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
59,MTR - Banaswadi,Banaswadi,2681,610417,227.68,815,483,592,35.07,8.14,1.11,30.4,18.02,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
60,Empire Restaurant - Banaswadi,Banaswadi,2568,597390,232.63,772,463,549,34.99,8.41,1.15,30.06,18.03,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
